office,power,shepherd,general
alluring,aggressive,adaptable,liberating
beneficent,blessed,clever,conservative
cruel,capricious,compassionate,radical
delicate,controlling,cryptic,content
discerning,curious,destined,serene
enlightened,cursed,devious,ecclectic
folksy,divine,doomed,quirky
gentle,driven,eccentric,silly
healing,eager,haunted,ridiculous
humble,elegant,impatient,guilty
inspiring,horrific,isolating,beguiling
judging,insane,manipulative,mischevious
loyal,ornery,obedient,beloved
mesmerizing,protective,patient,blighted
opulent,resilient,practical,draining
pastoral,stalwart,pragmatic,vampiric
resourceful,tender,protective,parasitic
stoic,unassuming,romantic,corrosive
terrifying,vengeful,sturdy,wary
unadorned,wise,unfeeling,unfulfilled
